PhraseId,Obs,features
1,series escapades demonstrating adage good goose also good gander occasionally amuses none amounts much story,1
2,series escapades demonstrating adage good goose,2
9,escapades,2
10,demonstrating adage good goose,2
11,demonstrating adage,2
12,demonstrating,2
32,good gander occasionally amuses none amounts much story,2
46,amuses none amounts much story,2
47,amuses,3
64,quiet introspective entertaining independent worth seeking,4
68,quiet introspective entertaining,3
82,even fans ismail merchant work suspect would hard time sitting one,1
83,even fans ismail merchant work,2
84,even fans,2
89,ismail merchant,2
90,ismail,2
95,suspect would hard time sitting one,1
119,positively thrilling combination ethnography intrigue betrayal deceit murder,4
123,thrilling combination,3
148,shakespearean,2
160,self glorification manipulative whitewash,0
166,whitewash,2
167,comedy drama nearly epic proportions rooted sincere performance title character undergoing midlife crisis,4
168,comedy drama nearly epic proportions,3
173,nearly epic,4
176,proportions,2
179,rooted sincere performance,3
194,undergoing midlife crisis,2
195,undergoing,2
199,narratively trouble every day plodding mess,1
200,narratively,2
214,importance earnest thick wit plays like reading bartlett familiar quotations,3
235,like reading bartlett familiar quotations,2
237,reading bartlett familiar quotations,2
245,familiar quotations,2
247,quotations,2
255,leave much,2
264,hate reason,1
286,unless one considers cliched dialogue perverse escapism source high hilarity,1
288,one considers cliched dialogue perverse escapism source high hilarity,2
289,considers cliched dialogue perverse escapism source high hilarity,2
290,considers,2
291,cliched dialogue perverse escapism source high hilarity,1
292,cliched dialogue perverse escapism,1
297,perverse escapism,2
300,source high hilarity,3
307,kung pow oedekerk realization childhood dream martial arts flick proves sometimes dreams youth remain,1
317,oedekerk realization childhood dream,2
318,oedekerk realization,2
336,proves sometimes dreams youth remain,1
341,dreams youth remain,2
342,dreams youth,3
353,performances absolute joy,4
364,fresnadillo something serious say ways extravagant chance distort perspective throw us path good sense,3
371,serious say ways extravagant chance distort perspective throw us path good sense,2
384,extravagant chance,2
392,distort,2
396,throw us path good sense,2
397,throw us,2
413,moonlight mile better judgment damned,2
414,moonlight mile better judgment,2
416,mile better judgment,2
424,welcome relief baseball movies try hard mythic one sweet modest ultimately winning story,3
425,welcome relief baseball movies try hard mythic,3
429,relief,2
432,baseball movies,2
455,ultimately winning story,4
457,winning story,3
459,bilingual charmer like woman inspired,3
463,bilingual,2
467,woman inspired,2
474,like less dizzily gorgeous companion mr wong mood love much hong kong movie despite mainland setting,2
475,like less dizzily gorgeous companion mr,3
476,less dizzily gorgeous companion mr,2
479,less dizzily gorgeous,2
481,dizzily gorgeous,4
482,dizzily,2
487,wong mood love much hong kong movie despite mainland setting,2
488,wong,2
498,love much,4
507,kong movie,2
510,despite mainland setting,2
515,mainland,2
524,big screen remakes,2
526,remakes,2
535,wild west,2
552,best indie year far,4
573,make oddest couples,2
575,oddest couples,2
580,sense movie becomes study gambles publishing world offering case study exists apart movie political ramifications,3
583,movie becomes study gambles publishing world offering case study exists apart movie political ramifications,2
585,becomes study gambles publishing world offering case study exists apart movie political ramifications,2
589,study gambles publishing world,2
599,publishing,2
601,offering case study exists apart movie political ramifications,2
603,case study exists apart movie political ramifications,3
609,exists apart,2
617,political ramifications,2
619,ramifications,2
624,going house party watching host defend frothing ex girlfriend,1
633,watching host defend frothing ex girlfriend,2
635,host defend frothing ex girlfriend,2
638,defend frothing ex girlfriend,2
646,frothing,1
647,ex girlfriend,2
648,chuck norris grenade gag occurs times windtalkers good indication serious minded film,2
652,chuck,2
653,norris grenade gag,2
654,norris,2
665,times windtalkers good indication serious minded film,2
666,times windtalkers,2
687,plot romantic comedy boilerplate start finish,2
693,romantic comedy boilerplate start,2
694,romantic comedy boilerplate,1
696,comedy boilerplate,2
698,boilerplate,2
709,impeccable pedigree mongrel pep almost,2
715,pedigree mongrel pep,2
719,mongrel,1
720,pep,2
722,indecipherable plot complications,1
723,indecipherable,2
726,film clearly means preach exclusively converted,2
727,film clearly means,2
736,preach exclusively,2
737,preach,2
738,exclusively,2
742,importance earnest offers opportunities occasional smiles chuckles n give us reason theater beyond wilde wit actors performances,1
749,offers opportunities occasional smiles chuckles,2
753,opportunities occasional smiles,2
764,give us reason theater beyond wilde wit actors performances,1
775,beyond wilde wit actors performances,2
777,wilde wit actors performances,2
782,actors performances,2
787,latest vapid actor exercise appropriate structure arthur schnitzler reigen,1
792,vapid actor exercise,1
794,actor exercise,2
800,appropriate structure,2
806,arthur schnitzler,2
807,arthur,2
810,reigen,2
818,show well constructed narrative,3
823,well constructed,3
825,terms inoffensive actually rather sweet,3
834,inoffensive actually,2
838,rather sweet,3
840,nothing run mill action flick,2
841,run mill action flick,2
853,hampered paralyzed,2
871,aims,2
874,ends sounding like satire,1
878,sounding like satire,2
879,sounding,3
880,like satire,2
887,ice age,2
895,computer generated feature cartoon,2
896,computer generated,2
897,feature cartoon,2
908,makes glacial pacing,1
924,little sense,1
932,makers serve cliches considerable dash,2
935,serve cliches considerable dash,2
938,cliches considerable dash,1
945,cattaneo followed runaway success first film full monty something different,2
946,cattaneo,2
951,followed runaway success first film full monty,3
953,runaway success first film full monty,4
956,runaway,2
979,unnamed easily substitutable,1
980,unnamed,2
984,substitutable,1
991,terror heroes horror movies try avoid,1
993,heroes horror movies try avoid,1
994,heroes horror movies,2
1000,try avoid,1
1024,movie progression rambling incoherence gives new meaning phrase fatal script error,0
1025,movie progression rambling incoherence,0
1026,movie progression,3
1027,progression,2
1036,gives new meaning,2
1049,script error,1
1057,judge one soon,2
1058,judge one,2
1063,dark gritty story takes totally unexpected directions keeps going,2
1081,totally unexpected,2
1091,young romantics date,2
1092,young romantics,4
1094,romantics,3
1105,tartakovsky team,2
1113,freakish,3
1119,five writers slip modern rut narrative banality,2
1124,slip modern rut narrative banality,1
1135,vincent gallo right home french shocker playing usual bad boy weirdo role,3
1152,shocker,2
1153,playing usual bad boy weirdo role,2
1158,bad boy weirdo role,2
1160,boy weirdo role,2
1162,weirdo role,2
1163,weirdo,2
1165,horror movie primary goal frighten disturb works spectacularly well shiver inducing nerve rattling ride,4
1168,horror movie primary goal,2
1172,primary,2
1179,disturb,1
1189,spectacularly well,4
1192,shiver inducing nerve rattling ride,2
1196,nerve rattling ride,2
1197,nerve rattling,2
1199,minute movie minutes decent material,1
1216,fortunately still option,2
1225,less sensational true crime hell jaunt purists might like experimental storytelling lrb though less horrifying rrb,3
1228,sensational true crime hell jaunt purists might like experimental storytelling,3
1232,true crime,2
1233,hell jaunt purists might like experimental storytelling,2
1234,hell jaunt purists,1
1235,hell jaunt,1
1236,purists,2
1237,might like experimental storytelling,3
1239,like experimental storytelling,2
1241,experimental storytelling,3
1247,lrb though less horrifying rrb,2
1249,though less horrifying rrb,2
1252,less horrifying rrb,2
1253,less horrifying,2
1258,tricky satisfying david mamet airless cinematic shell games,3
1261,tricky satisfying,3
1270,mamet airless cinematic shell games,3
1275,airless,2
1276,cinematic shell games,2
1278,shell games,2
1279,shell,2
1287,filmmaker would disagree honestly n see point,1
1294,would disagree,2
1295,disagree,3
1296,honestly n see point,0
1301,see point,2
1305,jones tackled meaty subject drawn engaging characters peppering pages memorable zingers,4
1312,tackled,2
1315,meaty,3
1317,drawn engaging characters peppering pages memorable zingers,3
1318,drawn engaging characters,4
1320,engaging characters,3
1325,peppering pages,2
1326,peppering,2
1333,bloody sunday grace call prevention rather place blame making one best war movies ever made,4
1347,prevention rather place blame,2
1348,prevention rather,2
1356,making one best war movies ever made,4
1371,clunky tv movie approach detailing chapter life celebrated irish playwright poet drinker,1
1374,clunky tv movie,1
1380,detailing chapter,2
1392,irish playwright poet drinker,2
1394,playwright poet drinker,2
1395,playwright,2
1400,drinker,2
1401,finally coming miramax deep shelves couple aborted attempts waking reno makes strong case letting sleeping dogs lie,2
1405,coming miramax deep shelves couple aborted attempts waking reno makes,1
1406,coming miramax deep shelves couple aborted attempts waking reno,1
1409,coming miramax deep shelves,2
1418,deep shelves,2
1420,shelves,2
1428,aborted,2
1435,strong case letting sleeping dogs lie,1
1442,sleeping dogs lie,2
1443,sleeping dogs,2
1450,thanks largely williams,2
1451,thanks largely,3
1469,rest overexposed waste film,0
1489,relic bygone era convolutions,1
